标题,标题链接,缩略图,room,来自经纪人,infor,listjjr,money
教场新路7弄1-4号院 1室1厅1卫,https://wz.58.com/zufang/47276948997912x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0Ntkjp0YO4MPwMwBkIWjfiSaQhpV3B421ie9vrgCCHGRVBALEOXMmIAiXVIKcxu9Xl0RsOTILExEkjn02bbpNWzTczxtXapb--NvMEkMbofd2ng_qsZgfj8-e9X9CzrkioF1AAAA,https://pic1.58cdn.com.cn/dwater/fang/small/n_v2d6139dea5dcb42cdafbc9ced00821060.jpg?w=240&h=180&ss=1&crop=1&cpos=middle&t=1&srotate=1,1室                        153㎡,,教场新路7弄1-4号院,,500元/月
解放街后巷小区 1室1厅1卫,https://wz.58.com/zufang/59565538933690x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7CMAxA4dtkju2YxIMPwMwBkIWj_kg0hTRC3J5urO_T64srQOEshQRRgDmljAQc-UIU5jZ6vbpSjkgniBARYAp9tm16Ddv0M562LtWt_eN5ZC4xuB12a-P9qBqD-f347lX3H9YZLlR1AAAA,https://pic7.58cdn.com.cn/house/image/publish/house/image/publish/n_v388c91a7cbb744b3ba22c6ba09af94194.jpg?w=240&h=180&ss=1&crop=1&cpos=middle&t=1&srotate=1,1室                        45㎡,,解放街后巷小区,,748元/月
解放军906医院温州中心医院 月付可短租家电全拎包入住,https://wz.58.com/zufang/83064435207515x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9kto1NwuAHMPcBlVVHQCUIEKKqv2831pOuLq4oqZMICYkGFGFBJuQ-scQwl1bz6MrQEYNATzwgMoY62zYdzTb9tNXeS3YrN_5HlATB7bJHaecrKwTz5_Xds-4_mJrkOnUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,蒋明星,招贤小区,蒋明星,800元/月
解放军906医院温州中心医院（月付）附近多套房源出租 可短租,https://wz.58.com/zufang/83412957979229x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9ktlMbO4MfwMwDkIUjWiSaQhpV_B421pOuL2HIOrGAYs4FmYmRMtJJiSXNbfR6DiMQAeQiknnSIqnPvt5fw1c7xtMfSw1vf_wNYYUUvvuljfetGiSP6_7Zqm1fnBiB5XUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,陈春蕾,招贤小区,陈春蕾,800元/月
金达商厦 1室1厅1卫 电梯房 配套齐全 精装修,https://wz.58.com/zufang/83404401538781x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkjl0bu4MPwMwBkIUj2ko0hTSquD3dWP7wpN_mMGAdWLIC4gjMxEAIdFFiSVPtrVzDKAuPeAZVhEVTm3x9vruvdvSXL3MJr388D2HNKXz3W-2fR7GcPO77dyu2_QAV7yctdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,"君勇房屋介绍所                            
                                                    
                                                                王素兰",金达商厦,王素兰,800元/月
精致公寓，独门独户，干净整洁，独厨独卫，划算，拎包入住,https://wz.58.com/zufang/59176670943750x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7DIAxA0dswg8HYDD5A5x6gsmrUJFJDWoKi3L7Z-scn_T6bBOISI8FVCYgpYSoJiDGzm9ro9WYSMwIShJIZwEN2fdL19Rm6yjHeuszVtP3xOgjZO9Nd7218n1W8U3vs51Zl-wF-2ys9dQAAAA==,https://pic2.58cdn.com.cn/anjuke_58/d92b302deac47b358333de4ff2d381ba?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,899元/月
精致公寓，独门独户，干净整洁，独厨独卫，划算，拎包入住,https://wz.58.com/zufang/55747928266264x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7DIAxA0dswY2yDGThA5x6gsmrUJFJDWoKi3L7Z-scn_T5bgSQZMYWrDMxETJlCEo7ipjZ6vVnBABgzApKXCMSuT7q-PkPXcoy3LnM1bX-8jsTinemu9za-z1q8U3vs51bL9gNDv56PdQAAAA==,https://pic4.58cdn.com.cn/anjuke_58/c1207922fee9cdcc8a723dfd31b7c67a?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        20㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
精致公寓，独门独户，干净整洁，独厨独卫，划算，拎包入住,https://wz.58.com/zufang/59176670943750x.shtml?compressed_params=H4sIAAAAAAAAA2VSTXObMBD9N77RIAgfOng6oSKjFGIElo3JxQPCMYZIsSULB3595fbQmfagkWb37e7b96RO7RK4vh26MICOA4HnPXq27T5CCH07WHSfWh1e2qXre44XOAD6oePYjr9QXS2OF12L5U3zuj8d2vrzb9BUBF5oL9r6Wq8_tWSHpbO4mllh4xyaAL5bbvgYWo-sfbdgC5nleU1Qu2HtOn6wqNv9dToflv3X4uNwNOUfy4eH-4t9nNjwzQu_sU_-0Gt-_n6t5fFwXar5ku4it5V1Vm7G6n33WnR8yl4VWGUC2yMp7UHiGBCwGnZ1Bs5vt-2GBo3Czw3vuEtGnqopiARgW9KjUUetz0vmKhxXum9cUsKUgFtEKHJlv2oFoEDgeCCAj5KiRADeinKVihJlBjuLks4EolT0dKDYHsydiNOQixgBU7sXQOSqt1t5j2O7kr3IickQwDIB0UxXuldF0qvd7vV1fWbv65MbridmrSP_p-z87e5cbKXJDSinOE74lO-P483SXdBu3m5fPL3NXz3a667wX96KWReXiB-JdRyD_Sa4NHrS_suUVwaTKIwSilEmSjuXPRpk39z5GC5xKzFLCAzA-an5EKf853kK3jT-0Yo--RKYDoLe5xeWmHRJulWuJpRLjIyGdORRZXRLfIWLRk6FxUFh9E0sGd8xLBUY5qKHGcGrymhmZq3mf3gYncUoejsTwL5z3IvfXGlotDccG4NhCT1VCY1REo--OZejBoGMCzKy-vL8goJ0U5BEg-pCMR9UiWZVilGVjfEF5aIUlfkXI8HQJZi1JEaD6WW8MXsdt6YGGe-MY79vZPa2E_nEZj2xVE58KwCsZF1VfLx1CltmT7EluIjIiIB8Ml6XPKV_eiZGq_-9j4PQ-LCn-DkiTyZTrjKOnzuBLaNX8wttLMzlngMAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,899元/月
精致公寓，温馨舒适，家具齐全，实景实拍，交通便捷,https://wz.58.com/zufang/59794751752492x.shtml?compressed_params=H4sIAAAAAAAAA0XLQQ6DIBBA0duwZpQZYDEH6NoDmEmHVJtUUCBNb19dufrJS35dlYHAU4hIwxAB0aGzkZCumCX3mh7Kox-BwmXgAD2Yusj22rts_O0fea9JJd94Hh6DNSpNptyPZ2JrROf2K4nLHwDQ6Ot1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
精装公寓，家电齐全，温馨舒适，安全性高，位置优越，诚心出租,https://wz.58.com/zufang/59973339922728x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ6DMAxA4dtkJj-OncEHYO4BKquOCkgQIESI2zdb3_hJr87KFil5j66XLEAIEFJwSBDJTKXVPCp7hM5ADiJ4jNbUSbbv0WTju62yzFml_LEfCDQYlUtepZ2fzIMRfV_Pnnn_AW1ZVp11AAAA,https://pic6.58cdn.com.cn/anjuke_58/d98275774e00544318cb9dfbb924342b?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        15㎡,"扬舲公寓房产                            
                                                    
                                                                李天",华府大楼(商业),李天,999元/月
精装公寓，温馨舒适，家具齐全，实景实拍，交通便捷，性价比高,https://wz.58.com/zufang/51513658552977x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtktlM7TgYfgJkDIAtHtEg0hTSquD3d-OOTfl9cUXKZJolnBZmJmApFyZxymNvo9eIak6BASggCTBhDn219vIeteoyXPZfq1v54HsIZgttu1zY-96oQzG_7d6u6_QBotnDidQAAAA==,https://pic7.58cdn.com.cn/anjuke_58/d29412df95b0d223404b634791cd50ad?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        40㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
精装公寓，温馨舒适，家具齐全，实景实拍，交通便捷，性价比高,https://wz.58.com/zufang/55006192118169x.shtml?compressed_params=H4sIAAAAAAAAA0XLuQ3DMAxA0W1U6yBDquAAqTNAQJiCDyCWbVkwsn3c5ZcP-G02CcQ5JYp3OSACIGSIxPhgN9XeytMkhcCEPntKkYDZtUnXce-6ytU_uszFtP7xPgjZO9NTX7UfQxHv1N7ndyuy_QDlFhFIdQAAAA==,https://pic5.58cdn.com.cn/anjuke_58/1fa2fea4159035f2af1c4c9f800f0893?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        25㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
精装公寓，无中介，安全性高，租房必看，划算,https://wz.58.com/zufang/59221036181290x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkThM7tgcfgJkDIAtHtEg0hTSquD3d-OOTfl9cJ2LJmdKZTIgACAKJGAuHuY1eL665ICeMAkWISEros62P97BVj_Gy51Ld2h_Pg5BjcNvt2sbnXjUG89v-3apuP537OGZ1AAAA,https://pic6.58cdn.com.cn/anjuke_58/f3a3ba9f2395c44daccb6cf28a39a758?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        20㎡,"扬舲公寓房产                            
                                                    
                                                                李天",华府大楼(商业),李天,999元/月
精装公寓，无中介，安全性高，租房必看，划算,https://wz.58.com/zufang/59221036181290x.shtml?compressed_params=H4sIAAAAAAAAA11STZOiMBT8N97cITKAHKytYcJUXBCCRpG5WHyIGIY3CgaFX7_PuWzVHvJRL93vdXWnOxcLQuaGZc91ezaziWG8vloznRiaYer6pPpW3XFZLHTTmM8MzX41bcuybHPSVSmcriqFxV01qTwfi_T7XxEZljHXJkV6Szffqs2Pi9nkhrN0Uh7zGdGnVlrOpq95WU6zY6ZPy9IuLS3NrVlhT9LicBsux4V8TL6OJ6R_LV5enrf865zXv4z5r_y7eZGqufy-pe3peFt049XfO3rRpmG87ZNyv1pXzRCuOhKEEOcRSOiB2RHEWb1PQ3L5vO-2wso6Jnwu3aiVWtgNkAATOy6Vo5wkbKog6dhH1vS04NI01QChElRvZVAAEQSYW3PS9K2gHpCmaGVegMwSHmc-J1rIbeqDFLVgWo2nB-c6ApcS5B6AQNRJDTlYZ1rSSog41jjLCrBpJAIlu7Unu_1-tdpc8nJz1uebIZ9uHPNPW5m7_WW9a_GtRizLvWaIDqf-PlWVVWw_74_Gv48PSQ-qWpvLz_Wo1lenOfHpqbcOW-uaqUGZyyFKEON1jHqC0RD9Qf0N-hWgH26PvhUt9ua2RS5v2Recoz-XwfpU7B1x3gO9qkE857tPHlFvtO4Y-EAC9NAe2zQJVdVE3fAx5bGZYQK-ktkIqLllVOdM9Ni_gLipgeXofRP9p2MEkkU8dvFuPzUe4EermCM2wfeESzoKl-5weSLg727Ay3WvRSyz2NIR5fl095Z9wdxBuxou7SHVI3B0wh09fGrHuYT_ZBY8cx05Czx45vmTlXV8uIiRmHX9c2I-whcMIvQ1hpiSji1NFec7_sYr5RSOGnLSDapqh8aHNyvm5CNrUduzJ-rGfwJ1J3E_1z5nNv4N6m1X68NW0BC5Y1PRUVV5CD31FdP6v81iNrOfAwAA,https://pic6.58cdn.com.cn/anjuke_58/f3a3ba9f2395c44daccb6cf28a39a758?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        20㎡,"扬舲公寓房产                            
                                                    
                                                                李天",华府大楼(商业),李天,999元/月
精装奶油风世贸电梯房 880起多套，家电齐全，可月付，可短租,https://wz.58.com/zufang/58192338798648x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kjl07doY8gJkHIAtHbZFoCmmE-D1sXU-6vnoB1oklKiBmYCYGQqCkxBKWNnq9eJkYE4skxUgpZwh9sW1-DdvKZzztsVa3duJ_CGsMbodd23jfa4nB_HZ891r2H6WxAYJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,"阿洪房产                            
                                                    
                                                                王维洪","马鞍池东路12,14号楼",王维洪,880元/月
看完省巨款，精装公寓，温馨一室，实景实拍，逃离合租,https://wz.58.com/zufang/59971234383672x.shtml?compressed_params=H4sIAAAAAAAAA11STZOjOAz9N7kxjXH4OqSmmoYdZyHGEDqEvqQIkATTVqchJoFfv85uTW3VHGS5ZD29J1lDW6-QblrI0A3TMFxkmsulY2Hb0B3DwYvLlxyadb3Ctrk0bAsjy7GWpmEvhksJ529ZwuouRcnbpi6__g8qhG06-qIub-X2S_ZVszIWtyeXsTSPDSo1q3QtbVk5J600T1jTkYNLZDq2XjWLsj7cpmuz4o_FZ3NW8M_Vy8vzVn22VffDdH5UX-KFS3H9eSv7c3NbDfN3tPdw3Zdx_j4Wp_0mvYgp3gyIxj3RE8ihAOQiluvzvozR9eO-e8_s40DcThCaSMK8YRJYTLBjXC9EW8Qyd9Ew0ULmWQFjMItc1XF93HNaA8oQkKBjSIx95oeA9JrxKmI5JCx3R8bpzDo_Ap51GdE75UNouwQCHynsARAkA9fr_hknetFzhUMws1xEiiPJqORDGvJhv99sttfqtG2xs50qbetZf_cXa7e_prtevXUql0AopuRwHu-avNj1-8f9IaL7_OD-QV5Sa_2RzjL91vYf4eOPvJvSs1OmNBxnRnTESFAzREfgVdITUUPmj9mZvV3JWzK8_vol6Frrc9qBfUv-680P-wkKQf7SYKp2cAki2RaqH7cYpqqG_LgTBOaeC8w4YJEHs8LEkNMIEC0U5wjIV3kVBiL-0CEUh9KARMxc__f8Qijx_MQwdMSZ0q8szCh7Cyg7paOekKNN1l52as_3cD3WJJj0bzPwR4VLwMOIeThWfSVAKsT4sWA5ff6p4qUhZL957OYR-M8eEXT_-oSRLFLaZ8ZTTxLbGoi01Ix27BWw9GqLTQINJEt6ziwgFDMU5vKpV9XMiPpnVWng6my7iKm9e87ufZMe1B7mQBTPRGMx0YhxTYNX6f0DQvV5x5sDAAA=,https://pic8.58cdn.com.cn/anjuke_58/183c1af2c1c8a80fcc28bda02f50b989?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        35㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
看完省巨款，精装公寓，温馨一室，实景实拍，逃离合租,https://wz.58.com/zufang/59971234383672x.shtml?compressed_params=H4sIAAAAAAAAA2VSXXOiMBT9N76xJaJEHpyduqGTFopBo0hfHAhWDE2qwWDh1--1-7Azuw-ZZJJ77j0faU_VHHm-O_MCHIzHAZpOJ1PX9SZBEPguHtWftj08V3MPTydj7HvIn_mT6RiP2rrQx4st9PxmVSFPh6r4_HsJCDyduaOquBbrT2vEYT4eXWGWDw1cFJRO8I4qZzIVY2f2PsGOVx1EUE4q1zu4o6LaX_vzYS6_Rh-HI8A_5g8P95P4OInmx3T2Q3yqB2nV-ee1MMfDdd4Ol3i38CpTLLNNl7_vXle16pevLUqWhrqpznSuUYBY5g67YonOb7fthuOypU-lqpXHOhW3PV5oJLZMks4uKl9lwmtpmFtZeiwLYoZuC8aJZ2RSacSRpmHDkOoMJ5FGbsWkiFmmU6jtmEwG1pBYS95w6jawR_rUpDokCLB7jXTaSrcy93vq5kYCDl4YEksdkJQnVrarSLa73evr-ize1ydvtu6Fs174L6b2t7vzamvgrYFaGkaqT_fH7ubYGlebt9uXim_DlyR7W6_857fVYFeXhToy59jh_QZfSttb_7lPc6iJWkoiTslSZ0msUZIzCloyPmhadozyiAUYnR_LD31KX849frP0V6Vl9KUpbzSH-X2IVB1CLXhIObJZsmWPZLCnfKk73bV9At65sX4MQWe4tKDPUFGBXvAs-eMZFYMB3__h0cEM6Ks7Q9Wd415_c-UznYXgl0Ba6oif8oiHJAo7H9blaBE24Yp1org8PRMcb1Yssii_cKqaNiNDmwGnrIRcyPe_MPTOPfDYnVNIGugF2YCu4xYwBLKDxL53ArrdiGWkg9xS04ut6VVqizxnvR5a6tdMulsNOSjkLNhj2Oguufe7rwi8-j_7EM8ghz2njgOZ1Ixi38pbbaVfGil-A7dc8lueAwAA,https://pic8.58cdn.com.cn/anjuke_58/183c1af2c1c8a80fcc28bda02f50b989?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        35㎡,"扬舲公寓房产                            
                                                    
                                                                李天",胜利商厦(商住楼),李天,999元/月
可短租可月付 五马街开太百货银泰百货附近多套单身公寓出租,https://wz.58.com/zufang/82181511450076x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9ktp24iQc_gJkHIAtHtEg0hTSq-D3dWE-6vrgi8IQExESCzCmVKWaCQiWGuY1eL65RUKKchpxIKIc-2_p4D1v1GC97LtWt_fEcmQsEt92ubXzuVSGY3_bvVnX7AYLpl7x1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,陈乐平,开太大厦,陈乐平,1000元/月
可短租月付，欧洲城，五马街，世贸银泰百货附近多套单身公寓,https://wz.58.com/zufang/82196230665437x.shtml?compressed_params=H4sIAAAAAAAAA0XLTQrCMBCG4dtknb_5mlnMAVx7ABmcYCvYVNNQvL26cvXCA29fTALChMKEGDkQZcqeQfjFzW30ejJJHEMEUgKX7EGuz7renkNXOcZD70s1bX_8HhMV70x3PbfxulbxTu2yv7cq2wfrDXITdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,林来思,开太大厦,林来思,1000元/月
可短租月付欧洲城，花园五马街，江滨西路多套单身公寓出租,https://wz.58.com/zufang/82124143159004x.shtml?compressed_params=H4sIAAAAAAAAA0WLMQ6DMAwAf5PZDrGTDH5A5z6gsuqoUKkECBHi96VTp5NOd20yQcbIKRN7n5EoUIDMxD-4sfZWbiZDRg_hymDAFCK6Nur8WrvOcvSPvqdiWv_yOiIlcKa73mvfnkXAqT32cymyfAEg-M-SdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,董跃光,开太大厦,董跃光,1000元/月
鹿城五马街小南路扬舲公寓 独门独户,https://wz.58.com/zufang/82629851859290x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7DIAxA0dswG2NjGHyAzj1AZRXUJFJDWoKi3L7Zun693-einoQkBSDE7JmJMVGOyAHYTW30eisaskS5UA4Zok_o-mTr6zNs1WO8bZlrsfaP1yGcwBXb7d7G91kVnJXHfm5Vtx9C1hmwdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,"扬舲公寓房产                            
                                                    
                                                                田健",小南路82号楼,田健,900元/月
马鞍池社区 1室1厅1卫 精装修 配套齐全,https://wz.58.com/zufang/83404226322906x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkNo5NksEHYO4BKquOCkgQIESI25et69f7dTLpKFCIHggxdczEGCn1yB7YjaXVPJgQBI4pemTs0RO7Our63ZuucrVF5ymbln98jseDMz31VdrxyQJO7X3eW5btB9LZ5NV1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,"君勇房屋介绍所                            
                                                    
                                                                王素兰",马鞍池社区,王素兰,800元/月
马鞍池世贸大厦，银泰附近，精装公寓多套，家电齐全，可月付！,https://wz.58.com/zufang/59664249100830x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9ktp04cQY_gJkHIAtHtEg0hTRC_B421pNurK4InJGAmKgic0qSYyEQkhiWPkc7ucaCqQoRQKGakcNYbLs9p236ng-7r82t__E3CgsEt8POfb6uTSGYX47P3nT_AsxNNux1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,陈宗方,"马鞍池东路12,14号楼",陈宗方,850元/月
马鞍池银泰附近，五马街附近，多套一室带厨房，家电齐全，可月付,https://wz.58.com/zufang/83381322522331x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdpPYjgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpOiaAkYYlRJsSMACmLCAGHpY1eL64ZOAoRpcKMUTj0xbb5NWzTz3jaY61u7cT_YCwQ3A67tvG-V4Vgfju-e9X9BxGFx4V1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,"优家盛开                            
                                                    
                                                                陈伟","马鞍池东路12,14号楼",陈伟,900元/月
美美广场附近，新装修大小房间，家电齐全可短租，可月付,https://wz.58.com/zufang/55218404126735x.shtml?compressed_params=H4sIAAAAAAAAA0XLuw3CMBAA0G1c39exCw9AzQDoxFlJkIgDjoXYHrq0T3p99YKgEQlIiTKqiqTIE0GixGFpo9eLF0bRjALCmTEqh77YNr-GbeUznvZYq1s78T8mTRDcDru28b7XAsH8dnz3WvYfVkt7lXUAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"阿洪房产                            
                                                    
                                                                王维洪",奥林匹克广场(商业),王维洪,1000元/月
美美时尚广场，维也纳酒店附近，多套单间独卫带厨房家电齐，月付,https://wz.58.com/zufang/83369127371869x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9kth2bkMEP6NwHVBaOCpUgtCFC_L7dup50bXHFzAkFcCTKKMIikQk4JqIw197KzZUhIYMMkoUyRQxttu357rbp2Vd7LcWt_vE3kowQ3A671_6ZikIwfxzXXnT_AocTuKh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,"优家盛开                            
                                                    
                                                                陈伟",鹿城路34-36号楼,陈伟,800元/月
免费带看，人民路电梯房1000至1500，家电齐全，拎包入住,https://wz.58.com/zufang/83414603816666x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkNsaOw-ADMPcAlYWjQiUIbYhQbw9b16_36-LakZCkHghx6JiJMdEQkXvgMJdW8-hKIIIYIxEx3DTU2bbXp9mmZ1vtvWS38o_3IZwguB32KO07ZYVg_jx-e9b9AvALOA91AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,潘建勇,开太大厦,潘建勇,1000元/月
免费带看，五马街附近，一室一卫一厨1000至1500支持月付,https://wz.58.com/zufang/83296513160026x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kthMnrgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpiKjAlYYlRMGfKAIlEpACHpY1eL64EJSIiEBAW5hT6Ytv8GrbpZzztsVa3duJ_cJ4guB12beN9rwrB_HZ896r7D7k31Sp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,新街公寓,郭翔,1000元/月
免费带看，五马街附近，一室一卫一厨800至1500，支持月付,https://wz.58.com/zufang/83036738078045x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0NtkdpyY2IMPwMwBkIWjfiSaQhpV3B421ie9vrjGyFSEkyBKJMq5YIoEdEkpzG30enXNgMwkjCJRCkHos23Ta9im53jaulS39sffKMQQ3A67tfF-VIVgfj8-e9X9Cwua7Wp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,"五马街23,30弄小区",郭翔,1000元/月
免费带看，银泰附近，一室一卫一厨1000至1500，支持月付,https://wz.58.com/zufang/83186183348701x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdhy7cQY_gJkHIAtHbZFoCmmE-D1sXU-6vrpG4CkiICOWyEwkU8oIgpLC0kavF1cCykVEkBhLSRj6Ytv8GrbpZzztsVa3duJ_ZBYIbodd23jfq0Iwvx3fver-A8NAWN91AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,"马鞍池东路12,14号楼",郭翔,1000元/月
免费带看，银泰马鞍池一室一卫800，可以月付，家电齐全,https://wz.58.com/zufang/83414873626970x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9ktp04TgY_gJkHIAtHtEg0hTRC_B421pNurK6IhaWWWIkqMqckFJGBc4xh6XO0k2sCESLMQMg1Ywljse32nLbpez7svja3_sffEC4Q3A479_m6NoVgfjk-e9P9C8k5QCN1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,潘建勇,"马鞍池东路12,14号楼",潘建勇,800元/月
免费带看，银泰世贸附近精装奶油风，家电齐全  可以月付,https://wz.58.com/zufang/83424891790938x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7DIAwA0NswY4xrGHyAzj1AZcUoH6khCUFRb99sXZ_02mwCkIhzwhxCBqIYOSCQpweim2pv5WkSPSeKeCswEgTXJl3HvesqV__oMhfT-sd7MCXvTE991X4MRbxTe5_frcj2A9odI-l1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        36.0㎡,林格选,"马鞍池东路12,14号楼",林格选,1000元/月
免费带看现场实拍，欧洲城电梯新装880至1500家电齐全提包,https://wz.58.com/zufang/59580350380731x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdmKbJIMPwNwDVBaOCpUgtCFCvT1sXf_Tb4uJp0gxIVAI2TMTh0R5CIzAbq69ldEE482EfiAkRMiuzbq9Pl03Ofuq76WY1n-8j8gJnOmhj9q_UxFwas_jtxfZL2J1kZZ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,欧洲城(商住楼),徐琼敏,880元/月
免费带看银泰世贸精装单间1000至1500，可月付，家电齐全,https://wz.58.com/zufang/83401610965981x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxG4dtkjoN_EgYfgLkHqCwcFSpBaEOEenvYuj190quLCSF1iD5RCAMBDOJA3CdGdHNpNY8m7CPQd8CAOxBcnXV7fZpucrZV30s2LX-8j4jknemhj9K-Uxbv1J7Hb8-yX322om11AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        36.0㎡,潘建勇,"马鞍池东路12,14号楼",潘建勇,1000元/月
免费看房 银泰马鞍池一室一卫800起，多套，家电齐全，可月付,https://wz.58.com/zufang/58635422087601x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7CMAxA4dtkjv-IO_gAzBwAWTiiRaIppBHi9nRjffpeX8JAlKRkBcQJRFiAEfikLCXNbfR6DqPD4ITElIlVMfXZ1_tr-Gqf8fTHUsPbPx5HEc0pfPdLG-9btZw8rvt3q7b9AEPpOzJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,"阿洪房产                            
                                                    
                                                                陆桂羽","马鞍池东路12,14号楼",陆桂羽,880元/月
